"No currencies found","Para birimi bulunamadı"
"Currency List","Para birimi listesi"
"Currency was deleted successfully","Para birimi silindi"
"Currency was saved successfully","Para birimi kaydedildi"
"Language was deleted successfully","Dil silindi"
"Language was saved successfully","Dil kaydedildi"
"Language","Sil"
"Languages","Diller"
"Locale format is unsupported","Desteklenmeyen yerel format"
"No language found to delete","Silinecek dil bulunamadı"
"Standard","Standart"
"Right","Sağ"
"Left","Sol"
"Currency","Para birimi"
"No Symbol","Sembolsüz"
"Use Symbol","Sembollü"
"Use Shortname","Kısa ad"
"Use Name","Ad"
"Base currency rate should be 1.00","Temel para birimi oranı 1.00 olmalıdır"
"Currency rate was changed to 1.00","Para birimi oranı 1.00 olarak değiştirildi"
"Localization","Yerel Ayarlar"
"Currencies","Para birimleri"
"Locale","Yerel"
"Base currency","Temel Para birimi"
"Default Address Format","Varsayılan adres formatı"
"Default display currency","Gösterilecek Para birimi"
"Default locale","Varsayılan yer"
"Timezone","Zaman dilimi"
"General","Genel"
"Currency will be used for all online payment transactions","Para birimi tüm online ödeme işlemleri için kullanılır"
"Default currency","Varsayılan para birimi"
"Default site locale","Varsayılan site"
"Default backend language","Varsayılan admin panel dili"
"Default frontend language","Varsayılan site dili"
