"%d rating(s) was deleted successfully","Odstraněno hodnocených vlastností: %d"
"%d rating(s) was saved successfully","Uloženo hodnocených vlastností: %d"
"%s reviews of %s","%s hodnocení z %s"
"%s: Review by %s","%s: Autor recenze %s"
"Rating","Hodnocení"
"Cons","Zápory"
"Log in to write a review","Hodnotit mohou pouze registrovaní uživatelé"
"Nickname '%s' is already in use. Choose a different one","Uživatelské jméno '%s' je obsazeno, zvolte si jiné"
"Overall: %s review(s)","Hodnoceno celkem: %s"
"Pros","Klady"
"Rating with name '%s' is already exist","Hodnocení s názvem '%s' již existuje"
"Read about %s","Číst o %s"
"Review not found","Nenalezeno žádné hodnocení"
"Review(s) %d to %d of %d","Recenze %d až %d z %d"
"Reviewed on %s by %s","Ze dne %s od uživatele %s"
"Reviews by %s","Hodnoceno uživatelem %s"
"Summary","Souhrn"
"View all reviews for %s","Zobrazit všechna hodnocení produktu %s"
"View all reviews written by %s","Zobrazit všechna hodnocení od uživatele %s"
"View all reviews","Zobrazit všechna hodnocení"
"View all user reviews (%d)","Hodnocení uživatelů (%d)"
"Write review for %s","Napsat hodnocení produktu %s"
"Write review","Napsat recenzi"
"Write your review","Napište vlastní recenzi"
"Add review for the %s","Přidat recenzi k produktu %s"
"All reviews","Všechny recenze"
"Average user ratings","Průměrné hodnocení uživatelů"
"Be the first to review this product","Napište první recenzi tohoto produktu"
"Community review ratings","Hodnocené vlastnosti"
"Community reviews","Uživatelské recenze"
"Compare selected","Porovnat zvolené"
"Customer reviews","Hodnocení uživatelů"
"Date","Datum"
"Guest","Host"
"Guests do not have the permission to vote. Review was saved without ratings","Neregistrovaným uživatelům není umožněno ohodnotit produkt, recenze bude uložena bez hodnocení"
"No ratings are available","Nenalezeno žádné hodnocení"
"Not found","Nenalezeno"
"Rating name is required","Název je povinný"
"Read review","Přečíst hodnocení"
"Review has been accepted for moderation","Recenze byla uložena a čeká na schválení moderátorem"
"Review was successfully saved","Recenze byla uložena"
"Reviews for the %s","Hodnocení prodektu %s"
"Reviews written by customer %s","Hodnocení uživatele %s"
"Reviews","Recenze"
"Select to compare","Zvolte k porovnání"
"Sort ascending","Vzestupně"
"Sort descending","Sestupně"
"There are no reviews for this product yet","Tento produkt dosud nikdo nehodnotil"
"Users rating","Hodnocení uživatelů"
"You have already voted for this product. Review was saved without ratings","Tento produkt jste již hodnotil, recenze byla uložena bez hodnocení"
"stars","hvězdiček"
"Explain to us in detail why you like or dislike the product, focusing your comments on the product's features and functionality, and your experience using the product. This field is optional.","Tento údaj není povinný. Slouží k detailnějšímu popisu kladných a záporných vlastností a popisu  zkušeností uživatele s používáním produktu."
"Tell us what you don't like about this product. up to 250 characters","Popište vlastnosti produktu se kterými nejste spokojen(a), maximálně 250 znaků"
"Nickname","Uživatelské jméno"
"One-line summary","Jednořádkový souhrn"
"Tell us what you like about this product. up to 250 characters","Popište kladné vlastnosti produktu, maximálně 250 znaků"
"Your nickname. All users will be able to see it","Vaše přezdívka, tento údaj je veřejný"
"Summarize your review in one line. up to 55 characters","Shrňte svůj názor na jednu řádku nadpisu, do 55 znaků"
"Show %s reviews per page","Zobrazit %s hodnocení na stránku"
"Sort by","Seřadit podle"
"View all","Zobrazit vše"
"%s stars","%s hvězdiček"
"Add Review","Přidat hodnocení"
"Product Reviews","Recenze produktu"
"Community","Hodnocení"
"Review ratings","Hodnocené vlastnosti"
"Allow guest to write a reviews","Umožnit neregistrovaným hostům napsat recenzi"
"Default customer review status","Výchozí stav uživatelské recenze"
"Default guest review status","Výchozí stav recenze od neregistrovaných hostů"
"Default reviews count per page","Výchozí počet recenzí na stránku"
"Enable ratings","Zapnout hodnocení"
"Enabled","Zapnuto"
"Merge average ratings","Sloučit hodnocení vlastností na jeden průměr"
"Reviews showed per page","Recenzí zobrazených na stránce"
"Show rating title","Zobrazit titulek hodnocení"
"Default review status written by registered customer","Výchozí stav recenze od registrovaných uživatelů"
"Default review status written by guest","Výchozí stav recenze od neregistrovaných hostů"
"Enable rating system in reviews","Zapnout v recenzi hodnocení vlastností"
"Show average rating as one","Zobrazit jeden průměr hodnocení"
"Show rating titles","Zobrazit titulek hodnocení"

"%d review(s) was deleted successfully","Odstraněno recenzí: %d"
