"No currencies found","Žádná měna nenalezena"
"Currency List","Seznam měn"
"Currency was deleted successfully","Měna byla odstraněna"
"Currency was saved successfully","Měna byla uložena"
"Language was deleted successfully","Jazyk byl odstraněn"
"Language was saved successfully","Jazyk byl uložen"
"Language","Jazyk"
"Languages","Jazyky"
"Locale format is unsupported","Nepodporovaný formát prostředí"
"No language found to delete","Nenalezen žádný jazyk"
"Standard","Standard"
"Right","Vpravo"
"Left","Vlevo"
"Currency","Měna"
"No Symbol","Bez symbolu"
"Use Symbol","Použít symbol"
"Use Shortname","Použít zkratku"
"Use Name","Použít název"
"Base currency rate should be 1.00","Základní kurz měny by měl být 1.00"
"Currency rate was changed to 1.00","Kurz měny byl změněn na 1.00"
"Localization","Místní nastavení"
"Currencies","Měny"
"Locale","Prostředí"
"Base currency","Základní měna"
"Default Address Format","Základní formát adresy"
"Default display currency","Výchozí zobrazovaná měna"
"Default locale","Výchozí prostředí"
"Timezone","Časové pásmo"
"General","Základní"
"Currency will be used for all online payment transactions","Měna bude použita pro všechny on-line platební transakce"
"Default currency","Výchozí měna"
"Default site locale","Výchozí prostředí obchodu"
"Default backend language","Výchozí jazyk správy"
"Default frontend language","Výchozí jazyk obchodu"
"Try to change the format of this currency to English (United States) - en_US","Zkuste změnit formát této měny na English (United States) - en_US"
