"'%s' was not found in database","'%s' не найдено в базе данных"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Зарегистрировавшись в нашем магазине, вы сможете быстрее оформлять заказ, хранить несколько адресов доставки, просматривать и отслеживать ваши заказы и многое другое."
"Can't save customer","Невозможно сохранить пользователя"
"If you have an account already, please log in.","Если у вас есть учетная запись в нашем магазине, пожалуйста войдите"
"New Customers","Новые посетители"
"Registered Customers","Зарегистрированные посетители"
"Welcome, %s %s","Добро пожаловать, %s %s"
"Account settings successfully updated","Настройки учетной записи успешно обновлены"
"Account","Учетная запись"
"Action","Действие"
"Actions","Действия"
"Add new address","Добавить новый адрес"
"Saving address","Сохранение адреса"
"Added on","Добавлено"
"Address Book","Адресная книга"
"Address","Адрес"
"Auth","Авторизация"
"Billing Address","Платежный адрес"
"Change Info","Изменить информацию"
"Change account info","Изменить информацию учетной записи"
"Change password","Изменить пароль"
"City","Город"
"Comment","Коментарий"
"Company","Компания"
"Confirm new password","Подтвердить новый пароль"
"Copy To Cart","Скопировать в корзину"
"Country","Страна"
"Create an Account","Создать учетную запись"
"Created Date","Дата создания"
"Customer Group","Группа клиентов"
"Search history","История поиска"
"Custom Customer Fields","Дополнительные поля клиентов"
"Default Billing Address","Платежный адрес по-умолчанию"
"Default Shipping Address","Адрес доставки по-умолчанию"
"Delete address?","Удалить адрес?"
"Delete","Удалить"
"Delivery Address","Адрес доставки"
"Edit Customer","Редактировать пользователя"
"Edit address","Редактировать адрес"
"Edit","Редактировать"
"Email","Электронная почта"
"Firstname","Имя"
"Forgot Your Password?","Забыли свой пароль?"
"Forgot password","Забыли пароль"
"Forgot","Забыли"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information.","В меню «Мой аккаунт», есть возможность просматривать последние действия аккаунта и обновлять Ваши учетные данные."
"Group was saved successfully","Група была успешно сохранена"
"Hello, %s","Привет , %s"
"Id","№"
"Information","Информация"
"Items Ordered","Товаров заказано"
"Lastname","Фамилия"
"Log in or create an account","Войдите или создайте учетную запись"
"Login","Вход"
"Logout","Выход"
"Manage Customer Groups","Управление клиентскими группами"
"Manage Customers","Управление клиентами"
"Modified Date","Дата изменения"
"Move To Cart","Перейти в корзину"
"My Account","Моя учетная запись"
"My Orders","Мои заказы"
"My Tags","Мои тэги"
"My Wishlist","Мой Список Желаний"
"Name","Имя"
"New password","Новый пароль"
"Newsletter","Рассылка"
"No primary address found","Основной адрес не найден"
"Password confirmation does not match","Подтверждение пароля не совпадает"
"Password is the required field","Пароль обязательное поле для заполнения"
"Password","Пароль"
"Payment Method","Способ оплаты"
"Personal Information","Личная информация"
"Price","Цена"
"Primary Billing Address","Основной адрес оплаты"
"Primary Delivery Address","Основной адрес доставки"
"Print","Печать"
"Recieved hash is corrupted.","Полученный хэш поврежден"
"Remove","Удалить"
"Reorder","Заказать повторно"
"Retrieve Forgotten Password","Восстановить потеряный пароль"
"Search","Поиск"
"Selected product is already in your wishlist","Выбраный продукт уже в списке желаний"
"Set us primary billing address","Укажите основной адрес плательщика"
"Set us primary shipping address","Укажите основной адрес доставки"
