"No currencies found","Валют не знайдено"
"Currency List","Список валют"
"Currency was deleted successfully","Валюту успішно видалено"
"Currency was saved successfully","Валюти успішно збережені"
"Language was deleted successfully","Мова видалена успішно"
"Language was saved successfully","Мова успішно збережена"
"Language","Мова"
"Languages","Мови"
"Locale format is unsupported","Формат локалі не підтримується"
"No language found to delete","Не знайдено мови для видалення"
"Standard","Стандартно"
"Right","Справа"
"Left","Зліва"
"Currency","Валюта"
"No Symbol","Без знака"
"Use Symbol","Зі знаком"
"Use Shortname","Короткий запис"
"Use Name","Назва"
"Base currency rate should be 1.00","Курс базової валюти має бути рівним 1.00"
"Currency rate was changed to 1.00","Курс валюти було змінено на 1.00"
"Localization","Локалізації"
"Currencies","Валюти"
"Locale","Локаль"
"Base currency","Базова валюта"
"Default Address Format","Формат адреси по-замовчуванню"
"Default display currency","Валюта по-замовчуванню"
"Default locale","Локаль по-замовчуванню"
"Timezone","Часовий пояс"
"General","Загальне"
"Currency will be used for all online payment transactions","Валюта буде використана для всіх онлайн транзакцій"
"Default address format","Формат адреси по-замовчуванню"
"Default currency","Валюта по-замовчуванню"
"Default site locale","Локаль по-замовчуванню"
"Default backend language","Мова по-замовчуванню в адмінці"
"Default frontend language","Мова по-замовчуванню в магазині"
