"License agreements","Lisans sözleþmesi"
"Server requirements","Sunucu gereksinimleri"
"Localization","Yerelleþtirme"
"Store configuration","Maðaza yapýlandýrmasý"
"Setup admin account","Yönetici hesabý"
"Modules","Modüller"
"All done","Kurulum tamamlandý"
"Server Capabilities","Sunucu kapasitesi"
"PHP Version","PHP Versiyonu"
">= 5.2",">= 5.2"
"PHP Settings","PHP Ayarlarý"
"Off","Kapalý"
"On","Açýk"
"Magic quotes","Magic quotes"
"File uploads","Dosya yüklemeleri"
"Session autostart","Oturumu otomatik baþlat"
"Session use trans SID","Session use trans SID"
"PHP Extensions","PHP Extensions"
"Loaded","Loaded"
"Not Loaded","Not Loaded"
"Writable","Yazýlabilir"
"Not Writable","Yazýlamaz"
"Enabled","Etkin"
"Disabled","Devre dýþý"
"Can't connect to database. Check server name, username or user password","Veritabanýna baðlanamýyor. Sunucu adý, kullanýcý adý ve kullanýcý þifresini kontrol edin"
"Can't select this database, check database name","Bu veritabaný seçemezsiniz, veritabaný adýný kontrol edin"
"Fill all required fields please","Gerekli tüm alanlarý lütfen doldurunuz"
"Config file is not writable at %s","%s yapýlandýrma dosyasý yazýlamýyor"
"Please enable JavaScript in your browser.","Lütfen tarayýcýnýzda JavaScript'i etkinleþtirin."
"Language","Dil"
"Copyright © %s, Axis, Inc. All Rights Reserved","Copyright © %s, Axis, Inc. All Rights Reserved"
"Database connection","veritabaný baðlantýsý"
"Database Server","veritabaný sunucusu"
"The address of the database server in the form of a hostname or IP address","Veritabaný sunucusu ana bilgisayar adý yada IP adresi"
"Database Name","Database Name"
"The name of the database to hold the data in","Verileri tutmak için veritabaný adý"
"Table prefix","Tablo öneki"
"Username","Kullanýcý adý"
"The username used to connect to the database server","Veritabaný sunucusuna baðlanmak için kullanýlan kullanýcý adýnýz"
"Password","Þifre"
"The password that is used together with the username to connect to the database server","Veritabaný sunucusuna baðlanmak için  kullanýcý adý ile birlikte kullanýlan þifre"
"Web access options","Web eriþim seçenekleri"
"Base Url","Temel Url"
"Frontend Url","Önyüz Url"
"Admin Path","Yönetici yolu"
"Administrative panel path","Yönetim paneli yolu"
"Use Secure URLs (SSL)","Güvenli URLs (SSL)"
"Secure Url","Güvenli Url"
"Site secure url","Site güvenli url"
"Encription Key","Encription Anahtar"
"Key that will be used to encrypt private data like passwords, usernames, credit cards etc.","Key that will be used to encrypt private data like passwords, usernames, credit cards etc."
"Locale","Yerel"
"Timezone","Zaman dilimi"
"Currency","Para birimi"
"Standard setup","Standart kurulum"
"Advanced setup","Geliþmiþ kurulum"
"No modules found","Modüller yok"
"Email","E-posta"
"Firstname","Ad"
"This name you will need to access to store backend","Bu isme kontrol paneline eriþmek için ihtiyacýnýz olacak"
"Lastname","Soyad"
"License","Lisans"
"Requirements","Gerekenler"
"Server configuration doesn't meet the Axis needs","Sunucu yapýlandýrmasý Axis kurulumu için gerekenleri karþýlamýyor"
"Configuration","Yapýlandýrma"
"Admin User Settings","Yönetici ayarlarý"
"Installation Mode","Yükleme modu"
"Axis was successfully installed","Axis baþarýyla yüklendi"
"Title","Baþlýk"
"Expected Value","Beklene deðer"
"Server Value","Sunucu deðeri"
"Success","Baþarýlý"
"Continue","Devam et"
"Back","Geri"
"Refresh","Yenile"
"Accept and Continue","Kabul et ve Devam et"
"Default locale settings","Varsayýlan yerel ayarlar"
"Additional locales","Ek yereller"
"Add Locale","Yer ekle"
"Add Currency","Para birimi ekle"
"Install","Yükle"
"Hide required","Gerekli gizle"
"Hide catalog","Katalog gizle"
"Hide payment","Ödeme gizle"
"Hide shipping","Nakliye gizle"
"Administrator account","Yönetici hesabý"
"Report any %s you've found","%s bulunan rapor"
"Report","Rapor"
"Bugs or Issues","Hatalar veya sorunlar"
"Installation Process","Yükleme iþlemi"
"Go to %s","%s git"
"Frontend","Ön yüz"
"Backend","Kontrol paneli"
"Crypt key","Þifre anahtarý"
"Installing. Please wait...","Yükleniyor. Lütfen bekleyin..."
"Your server must have mod_rewrite module loaded to go futher","Sunucunuz da mod_rewrite modülü yüklü olmalýdýr"
"File Permissions","Dosya izinleri"
"IMPORTANT! Make sure you keep it in a safe place.","ÖNEMLÝ! Güvenli bir yerde sakladýðýnýzdan emin olun."
