"License agreements","Acord licență"
"Server requirements","Cerințe server"
"Localization","Localizare"
"Store configuration","Configurare magazin"
"Setup admin account","Configurare cont administrator"
"Modules","Module"
"All done","Finalizat"
"Server Capabilities","Capabiliăți server"
"PHP Version","Versiune PHP"
">= 5.2",">=5.2"
"PHP Settings","Setări PHP"
"Off","Oprit"
"On","Pornit"
"Magic quotes","Magic quotes"
"File uploads","File uploads"
"Session autostart","Session autostart"
"Session use trans SID","Session use trans SID"
"PHP Extensions","Extensii PHP"
"Loaded","Înărcat"
"Not Loaded","Nu a fost încărcat"
"Writable","Poate fi scris"
"Not Writable","Nu poate fi scris"
"Enabled","Activ"
"Disabled","Inactiv"
"Can't connect to database. Check server name, username or user password","Conexiunea la baza de date a eșuat. Verificați numele serverului, numele de utilizator sau parola."
"Can't select this database, check database name","Baza de date nu a putut fi selectată, verificați numele introdus."
"Fill all required fields please","Completați toate câmpurile obligatorii!"
"Config file is not writable at %s","Fișierul de configurare nu ar permisiuni de scriere la %s"
"Please enable JavaScript in your browser.","Vă rugăm sa activați JavaScript din browserul dumneavoastă"
"Language","Limba"
"Copyright © %s, Axis, Inc. All Rights Reserved","Copyright © %s, Axis, Inc. Toate drepturile rezervate"
"Database connection","Conexiune bază de date"
"Database Server","Server bază de date"
"The address of the database server in the form of a hostname or IP address","Adresa bazei de date trebuie să fie sub forma unui hostname sau a unei adrese IP"
"Database Name","Nume bază de date"
"The name of the database to hold the data in","Numele bazei date în care datele vor fi stocate"
"Table prefix","Prefix tabele"
"Username","Nume utilizator"
"The username used to connect to the database server","Numele utilizatorului ce va fi folosit la conexiunea către serverul bazei de date"
"Password","Parolă"
"The password that is used together with the username to connect to the database server","Parola folosită de utilizator pentru a se conecta la serverul bazei de date."
"Web access options","Setări acces Web"
"Base Url","Adresa de bază"
"Frontend Url","Adresă magazin"
"Admin Path","Adresă admin"
"Administrative panel path","Adresă panou administrare"
"Use Secure URLs (SSL)","Folosește URL-uri securizate(SSL)"
"Secure Url","Url securizat"
"Site secure url","Adresă securizată"
"Encription Key","Cheie de criptare"
"Key that will be used to encrypt private data like passwords, usernames, credit cards etc.","Cheia care va fi folosită la criptarea datelor private precum: parolele, numele utilizatorilor etc"
"Locale","Țară"
"Timezone","Fus orar"
"Currency","Moneda"
"Standard setup","Instalare normală"
"Advanced setup","Instalare avansată"
"No modules found","Nu a fost găsit niciun modul"
"Email","Email"
"Firstname","Nume"
"This name you will need to access to store backend","Acest nume va fi folosit la conectarea în panoul de administrare"
"Lastname","Prenume"
"License","Licență"
"Requirements","Cerințe"
"Server configuration doesn't meet the Axis needs","Configurația serverului nu îndeplinește cerințele minime pentru platforma Axis"
"Configuration","Configurare"
"Admin User Settings","Setări cont administrator"
"Installation Mode","Mod de instalare"
"Axis was successfully installed","Axis s-a instalat cu succes"
"Title","Titlu"
"Expected Value","Valoare necsară"
"Server Value","Valoarea serverului"
"Success","Îndeplinită
"
"Continue","Continuă"
"Back","Înapoi"
"Refresh","Reîncarcă"
"Accept and Continue","Acceptă și continuă"
"Default locale settings","Setări locale de bază"
"Additional locales","Zone adiționale"
"Add Locale","Adaugare țară"
"Add Currency","Adăugare monedă"
"Install","Instalare"
"Hide required","Ascunde câmpuri obligatorii"
"Hide catalog","Ascunde catalog"
"Hide payment","Ascunde metoda de plată"
"Hide shipping","Ascunde metoda de livrare"
"Administrator account","Cont administrator"
"Report any %s you've found","Va rugăm să ne transmiteți fiecare %s întâlnită"
"Report","Raportează"
"Bugs or Issues","Problemă"
"Installation Process","Proces instalare"
"Go to %s","Mergi către %s"
"Frontend","Magazin"
"Backend","Panou de administrare"
"Crypt key","Cheie de criptare"
"Installing. Please wait...","Axis se instalează. Vă rugăm sa așteptati!"
"Your server must have mod_rewrite module loaded to go futher","Serverul trebuie să aibă modul mod_rewrite activat pentru a continua"
"File Permissions","Permisiuni fișier"
"IMPORTANT! Make sure you keep it in a safe place.","IMPORTANT! Păstrați acest cod într-un loc sigur!"
