"Customer '%s' not found", "Cliente '%s' não encontrado"
"If you have an account with us, please log in.", "Se você já possui uma conta, Acesse"
"Your account is not active. Please contact site administrator for more details", "Sua conta não está ativa. Entre em contato com o administrador do site para obter mais detalhes"
"'%s' was not found in database", "'%s' não foi encontrado no banco de dados"
"New Account Created", "Nova Conta Criada"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.", "Ao criar uma conta em nossa loja, você será capaz de finalizar sua compra com mais agilidade, registrar múltiplos endereços de envio, ver e rastrear seus pedidos e muito mais."
"You have been registered on %s", "Você  foi registrado em %s"
"You can %s to the account, using the following values", "Você pode %s para a conta, usando os seguintes valores"
"Can't save customer", "Não é possível salvar o cliente"
"New customer was registered on %s", "Novo cliente foi registrado em %s"
"Customer", "Cliente"
"New Customers", "Novos Clientes"
"You have submitted a forgot password request.", "Você apresentou uma pedido para recuperar senha."
"Registered Customers", "Clientes Registados"
"Welcome, %s %s", "Bem-vindo, %s %s"
"If you want to change your password, follow this link: %s", "Para alterar sua senha, clique neste link: %s"
"Account settings successfully updated", "Configurações da conta atualizado com sucesso"
"This link is valid for only %d hours, until %s.", "Este link é válido apenas para %d horas, até %s."
"Account", "Conta"
"Forgotten Password", "Esqueci minha senha"
"Action", "Ação"
"Customer account was created successfully", "Conta do Cliente foi criado com sucesso"
"Actions", "Ações"
"Add new address", "Adicionar novo endereço"
"Saving address", "Salvar endereço"
"Added on", "Adicionado em"
"Address Book", "Livro de Endereços"
"Address", "Endereço"
"Auth", "Autenticação"
"Billing Address", "Endereço de Cobrança"
"Change Info", "Alterar Informações"
"Change account info", "Alterar as informações da conta"
"Change password", "Alterar senha"
"City", "Cidade"
"Comment", "Comentário"
"Company", "Empresa"
"Community","Comunidade"
"Login information","Informação de acesso"
"Confirm new password", "Confirme a nova senha"
"Copy To Cart", "Copiar ao Carrinho"
"Country", "País"
"Create an Account", "Criar uma Conta"
"Created Date", "Data de Criação"
"Customer Group", "Grupo de Clientes"
"Search history", "Histórico de pesquisa"
"Custom Customer Fields", "Campos Extras Para Cliente"
"Default Billing Address", "Endereço de Cobrança Padrão"
"Default Shipping Address", "Endereço de Envio Padrão"
"Delete address?", "Excluir endereço?"
"Delete", "Excluir"
"Delivery Address", "Endereço de Envio"
"Edit Customer", "Editar Cliente"
"Edit address", "Editar Endereço"
"Edit", "Editar"
"Email", "Email"
"Firstname", "Nome"
"Forgot Your Password?", "Esqueceu Sua Senha?"
"Forgot password", "Esqueci minha senha"
"Forgot", "Esqueci"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information.", "Na área Minha Conta no Painel de controle, você pode visualizar suas atividades recentes e atualizar informações de sua conta."
"Group was saved successfully", "Grupo salvo com sucesso"
"Hello, %s", "Olá, %s"
"Id", "Id"
"Information", "Informações"
"Items Ordered", "Itens Encomendados"
"Lastname", "Sobrenome"
"Log in or create an account", "Acessar ou criar uma conta"
"Login", "Acessar"
"Logout", "Sair"
"Manage Customer Groups", "Gerenciar Grupos de Clientes"
"Manage Customers", "Gerenciar Clientes"
"Modified Date", "Data de Modificação"
"Move To Cart", "Adicionar ao Carrinho"
"My Account", "Minha Conta"
"My Orders", "Meus Pedidos"
"My Tags", "Minhas Tags"
"My Wishlist", "Minha Lista de Pedidos"
"Name", "Nome"
"New password", "Nova senha"
"Newletter", "Newletter"
"No primary address found", "Nenhum endereço primário encontrado"
"Password confirmation does not match", "Confirmação de senha incorreta"
"Password is the required field", "A senha é um campo obrigatório"
"Password", "Senha"
"Payment Method", "Forma de Pagamento"
"Personal Information", "Informações Pessoais"
"Price", "Preço"
"Primary Billing Address", "Endereço de Cobrança Principal"
"Primary Delivery Address", "Endereço de Envio Principal"
"Print", "Imprimir"
"Recieved hash is corrupted.", "Hash Recebida está corrompida."
"Remove", "Remover"
"Reorder", "Reordenar"
"Retrieve Forgotten Password", "Recuperar Senha"
"Search", "Pesquisa"
"Selected product is already in your wishlist", "Produto selecionado já está em sua lista de pedidos"
"Set us primary billing address", "Defina como endereço principal de cobrança"
"Set us primary shipping address", "Defina como endereço de envio principal"
"Shipping Method", "Forma de Envio."
"Sign In / Create Account", "Acessar ou Criar Conta"
"Signup", "Registrar"
"Site Name", "Nome do Site"
"Sorry but we were not able to contact you via email address provided.", "Desculpe, mas não fomos capazes de entrar em contato com você através do endereço de e-mail fornecido."
"State/Province", "Estado"
"Status", "Status"
"Street Address", "Endereço (Rua)"
"Submit", "Enviar"
"Update", "Atualizar"
"View All", "Visualizar Todos"
"View Order", "Visualizar Pedido"
"View", "Visualizar"
"Wishlist", "Lista de Pedidos"
"Zip/Postcode", "CEP"
"My Addresses", "Meus Endereços"
"Active", "Ativo"
"Confirm Password", "Confirmar Senha"
"Contact information", "Informações de contato"
"Current password", "Senha atual"
"Email address", "Endereço de e-mail"
"Email will be used to login into your account", "O e-mail será usado para acessar sua conta"
"General information", "Informações Gerais"
"Register", "Registrar"
"Site", "Site"
"Street", "Rua"
"Telephone", "Telefone"
"Use as my default billing address", "Usar como meu endereço de cobrança padrão"
"Use as my default shipping address", "Usar como meu endereço de envio padrão"
"Your email. No one will see it", "Seu e-mail. Ninguém vai vê-lo"
"Your name. All users will be able to see it", "Seu nome. Todos os usuários serão capazes de vê-lo"
"No addresses found", "Endereços não encontrados"
"Username or password is incorrect", "Nome de usuário ou senha está incorreto"
"Address not found", "Endereço não encontrado"
"Fax", "Fax"
"Save", "Salvar"
"Customer View", "Visualizar Cliente"
"Account Information", "Informações Sobre a Conta"
"Addresses", "Endereços"
"Delete group", "Excluir grupo"
"Create group", "Criar grupo"
"Invalid address data. Try again.", "Dados de endereço inválido. Tentar novamente."
"Customers", "Clientes"
"Customer Groups", "Grupos de Clientes"
"Customer Info Fields", "Campos Extras"
"Value sets", "Definir Valor"
"Default Customer Group", "Grupo de Cliente Padrão"
"Group title", "Título do grupo"
"General", "Geral"
"Default Customer Group (default:'General')", "Grupo de Cliente Padrão (Padrão: \'Geral\')"
"State(Region) Id","State(Region) Id"
"You can get the id of desired region at admin/location_zone","You can get the id of desired region at admin/location_zone"
