"PayPal Direct","PayPal Direct"
"PayPal Express","PayPal Express"
"You will be redirected to PayPal website when you place an order","После оформления заказа вас будет перенаправлено на сайт PayPal"
"API Signature -- Password","API Signature -- Пароль"
"API Signature -- Signature","API Signature -- Сигнатура"
"API Signature -- Username","API Signature -- Имя пользователя"
"Debug Mode","Режиме отладки"
"Live or Sandbox","Live or Sandbox"
"PAYFLOW: Partner","PAYFLOW: Partner"
"PAYFLOW: Password","PAYFLOW: Пароль"
"PAYFLOW: User","PAYFLOW: Пользователь"
"PAYFLOW: Vendor","PAYFLOW: Продавец"
"Payment Action","Оплата действий"
"PayPal Api Mode","Режим PayPal Api"
"Paypal business email","PayPal бизнес e-mail"
"Paypal business name","PayPal бизнес имя"
"Paypal debug url","PayPal url отладки"
"Paypal Logo Image URL","PayPal url картинки логотипа"
"Paypal url","PayPal url"
"Sandbox Mode","Режим песочницы"
"Transaction Currency","Валюта транзакции"
"Transaction Type","Тип транзакции"
"VERSION","VERSION"
"PayPal Standard","PayPal Standard"
"PayPal NVP Api","PayPal NVP Api"
"PayPal Payflow Api","PayPal Payflow Api"
"Title","Заголовок"
"Would you like to enable debug mode?  A complete detailed log of failed transactions will be emailed to the store owner.","Включить режим отладки? полный отчет об ошибках будет выслан на e-mail владельца магазина"
"Live: Used to process Live transactions Sandbox: For developers and testing","Live: Используется для обработки Live сделок песочницы: Для разработчиков и тестирования"
"How do you want to obtain payment?","Как вы хотите получить платеж?"
"Which PayPal API system should be used for processing?","Какая система PayPal API должна быть использована для обработки?"
"Which currency should the order be sent to PayPal?   If an unsupported currency is sent to PayPal, it will be auto-converted to USD (or GBP if using UK account)","В какой валюте должен направляться счет в PayPal? Если эта валюта не поддерживается PayPal она будет конвертирована в USD (или GBR для счет из Великобритании)"
"How do you want to obtain payment? Default: Sale (Sale, Order, Authorization)","Как вы хотите получить платеж? По умолчанию: продажи (продажа, заказ, авторизация)"
"set mode Paypal Express Checkout payments (nvp, payflow)","установить режим Paypal Express Checkout платежей (НВП, Payflow)"
"The API Password from your PayPal API Signature settings under *API Access*. This value is a 16-character code and is case-sensitive.","API пароль от вашего PayPal API, настройки подписи *API Access*. Это значение представляет собой 16-символьный код, и с учетом регистра."
"The API Signature from your PayPal API Signature settings under *API Access*. This value is a 56-character code, and is case-sensitive.","API пароль от вашего PayPal API, настройки подписи *API Access*. Это значение 56-символьный код, и с учетом регистра."
"The API Username from your PayPal API Signature settings under *API Access*. This value typically looks like an email address and is case-sensitive.","API пароль от вашего PayPal API, настройки подписи *API Access*. Это значение обычно выглядит как адрес электронной почты и с учетом регистра."
"Used protocol Paypal version","Используемая версия протокола PayPal"
"The 6- to 32-character password that you defined while registering for the account. This value is case-sensitive.","Пароль от 6 до 32 символов который вы указали при регистрации. Зависит от регистра."
"Your Payflow Partner linked to your Payflow account. This value is case-sensitive.  Typical values: <strong>PayPal</strong> or <strong>Axis</strong>","Ваш партнер Payflow связан с вашим аккаунтом Payflow. Зависит от регистра. Типичные значения: <strong>PayPal</strong> или <strong>Axis</strong>"
"If you set up one or more additional users on the account, this value is the ID of the user authorized to process transactions. Otherwise it should be the same value as VENDOR. This value is case-sensitive.","Если вы установите один или несколько дополнительных пользователей на счету, это значение идентификатора пользователя уполномоченных для обработки транзакций. В противном случае он должен иметь то же значение, как поставщика. Эта величина зависит от регистра."
"Your merchant login ID that you created when you registered for the Payflow Pro account. This value is case-sensitive.","Ваш торговый ID, который вы создали, когда вы зарегистрировались для Payflow Pro. Эта величина зависит от регистра."
"Type","Тип"
"Payment Action: Default: Sale (Sale, Authorization)","Оплата действий: По умолчанию: (продажа, авторизация)"
"Maximum image size is 750x90px","Максимальный размер изображения 750х90px"
"Click here to pay via PayPal Express Checkout","Оплатить с помощью PayPal Express"
