"PayPal Direct","PayPal Direct"
"PayPal Express","PayPal Express"
"You will be redirected to PayPal website when you place an order","Veți fi redirecționat către site-ul PayPal când trimiteți comanda"
"API Signature -- Password","Semnătură API - Parola"
"API Signature -- Signature","Semnătură API - Semnătura"
"API Signature -- Username","Semnătură API - Nume utilizator"
"Debug Mode","Mod debug"
"Live or Sandbox","Live sau SandBox"
"PAYFLOW: Partner","PAYFLOW: Partener"
"PAYFLOW: Password","PAYFLOW: Parola"
"PAYFLOW: User","PAYFLOW: Utilizator"
"PAYFLOW: Vendor","PAYFLOW: Producător"
"Payment Action","Plătește
"
"PayPal Api Mode","Mod API PayPal"
"Paypal business email","Adresa e-mail PayPal"
"Paypal business name","Denumire societate PayPal"
"Paypal debug url","Adresă debug PayPal"
"Paypal Logo Image URL","Adresă logo PayPal"
"Paypal url","Adresă PayPal"
"Sandbox Mode","Mod SandBox"
"Transaction Currency","Moneda tranzacției"
"Transaction Type","Tipul tranzacției"
"VERSION","VERSIUNE"
"PayPal Standard","PayPal standard"
"PayPal NVP Api","Api NVP PayPal"
"PayPal Payflow Api","Api PayFlow PayPal"
"Title","Denumire"
"Would you like to enable debug mode?  A complete detailed log of failed transactions will be emailed to the store owner.","Vreți să activați modul debug? Un istoric detaliat al tranzacțiilor eșuate va fi transmis prin email deținătorului magazinului."
"Live: Used to process Live transactions Sandbox: For developers and testing","Live: Este folosit pentru a procesa instant tranzacțiile SandBox. Folosit de dezvoltatori și testeri"
"How do you want to obtain payment?","Cum vreți să primiți plata?"
"Which PayPal API system should be used for processing?","Ce API trebuie să folosească sistemul PayPal pentru procesare?"
"Which currency should the order be sent to PayPal?   If an unsupported currency is sent to PayPal, it will be auto-converted to USD (or GBP if using UK account)","Ce monedă de schimb va avea comanda trimisă la PayPal? Dacă este o monedă inexistentă în sistemul PayPal, aceasta v-a fi transformată automat in Dolari Americani (USD) "
"How do you want to obtain payment? Default: Sale (Sale, Order, Authorization)","Cum doriți să opțineți plata? Implicit: Vânzări(Vânzare, Comandă, Autorizație)"
"set mode Paypal Express Checkout payments (nvp, payflow)","setați modul de plată pentru PayPal Express(nvp, payflow)"
"The API Password from your PayPal API Signature settings under *API Access*. This value is a 16-character code and is case-sensitive.","Parola API ce se găsește în Semnătura API din contul dumneavoastră sub ”API Access”. Aceasta este un cod de 16 caractere și este case-sensitive."
"The API Signature from your PayPal API Signature settings under *API Access*. This value is a 56-character code, and is case-sensitive.","Parola API ce se găsește în Semnătura API din contul dumneavoastră sub ”API Access”. Aceasta este un cod de 16 caractere și este case-sensitive."
"The API Username from your PayPal API Signature settings under *API Access*. This value typically looks like an email address and is case-sensitive.","Utilizatorul API ce se găsește în Semnătura API din contul dumneavoastră sub ”API Access”. În general seamănă cu o adresă de email și este case-sensitive."
"Used protocol Paypal version","Protocolul folosit de versiunea PayPal"
"The 6- to 32-character password that you defined while registering for the account. This value is case-sensitive.","Parola de 6-32 de caractere pe care ați introdus-o când v-ați creat contul. Această valoare este case-sensitive."
"Your Payflow Partner linked to your Payflow account. This value is case-sensitive.  Typical values: <strong>PayPal</strong> or <strong>Axis</strong>","Sistemul PayFlow a fost afiliat contului dumneavoastră PayPal. Această valoare este case-sensitivă. Valori obișnuite <strong>PayPal</strong> sau <strong>Axis</strong>"
"If you set up one or more additional users on the account, this value is the ID of the user authorized to process transactions. Otherwise it should be the same value as VENDOR. This value is case-sensitive.","Dacă doriți sa adăugați mai mulți utilizatori contului dumneavoastră, această valoare este ID-ul utilizatorului autorizat procesării tranzacțiilor. Altfel această valoare reprezintă Producătorul. Această valoare este case-sensitive."
"Your merchant login ID that you created when you registered for the Payflow Pro account. This value is case-sensitive.","Id-ul de comerciant pe care l-ați creat când v-ați înscris pentru un cont PayFlow Pro. Această valoare este case-sensitive."
"Type","Tip"
"Payment Action: Default: Sale (Sale, Authorization)","Acțiune plată. Implicit: Vânzare (Vânzare, Autorizare)"
"Maximum image size is 750x90px","Dimensiunea maximă a imaginii este de 750x90px"
"Click here to pay via PayPal Express Checkout","Click aici pentru a plăti folosind metoda PayPal Express"
