"Minimum Qty for Item's","Öge için Minimum Adet"
"No categories found","Kategori bulunamadı"
"Regular price","Genel fiyat"
"Special price","Özel fiyat"
"You save","Kazanc"
"Add to Compare","Karşılaştırmak için ekle"
"Add to Wishlist","Beğendiklerime ekle"
"Add to cart","Sepete ekle"
"Add","Ekle"
"Additional images","Ek resim"
"All Products","Tüm ürünler"
"Attributes","Özellikler"
"Backorders","Bekleyen sipariş"
"Base Image","Temel resim"
"Begin","Başlangıç"
"Catalog","Katalog"
"Categories","Kategoriler"
"Category successfully saved","Kategori kaydedildi"
"Choose option","Seçenekler"
"Close","Kapat"
"Code","Kod"
"Comparable","Karşılaştırılabilir"
"Compare","Karşılaştır"
"Data has been saved successfully","Veri başarıyla kaydedildi"
"Data was successfully saved","Veri başarıyla kaydedildi"
"Date Available","Geçerlilik tarihi"
"Description","Açıklama"
"Duplicate entry (url)","Çift giriş(url)"
"Empty","Boş"
"End","Bitiş"
"Enter path","Yol gir"
"Featured","Gösterilmiş"
"Filterable","Filtrelenebilir"
"Grid","Izgara"
"SEO url","SEO url"
"Image %s of %s","%s resimden %s"
"Image SEO prefix","SEO resim öneki"
"Image","Resim"
"Invalid data recieved","Geçersiz veri"
"Invalid parameter recieved. ProductId is required","Geçersiz parametre. Ürün Kodu gerekli"
"%s Item(s)","%s Öge(ler)"
"Keywords","Anahtar kelime"
"Language sensivity","Dile duyarlı"
"List","Liste"
"Loading error","Yükleme hatası"
"Loading","Yükleniyor"
"Main Images","Ana resim"
"Manage stock","Stok yönetimi"
"Manufacturer was deleted successfully","Üretici silindi"
"Manufacturer","Üretici"
"Maximum Qty Allowed","izin verilen maksimum adet"
"Maximum allowed quantity is %d","Maksimum izin verilen miktar %d"
"Method %s not exist","%s yöntemi bulunamadı"
"Minimum Qty Allowed","izin verilen minimum adet"
"Minimum allowed quantity is %d","Minimum izin verilen miktar %d"
"Name","Ad"
"Next","Sonraki"
"No description available","Açıklaması yok"
"Notify for Quantity Below","Uyarı miktarı"
"Only %d %s available","Sadece %d %s geçerli"
"Only %d %s","Sadece%d %s"
"Option Label","Opsiyon etiketi"
"Option was deleted successfully","Opsiyon silindi"
"Option was saved successfully","Opsiyon kaydedildi"
"Out of stock","Stokda yok"
"Please fill product url field","Ürün url alanını doldurunuz"
"Please, add products for comparation","Lütfen, karşılaştırma için ürün ekleyin"
"Prev","Önceki"
"Preview","Önizleme"
"Price","Fiyat"
"Product %s not found","%s ürün bulunamadı"
"Product Attributes","Ürün özellikleri"
"Product Comparison","Ürün Karşılaştırması"
"Product is out of stock","Ürün stokta yok"
"Product not found","Ürün bulunamadı"
"Product url not saved. Duplicate entry url","Ürün url kaydedilmedi. Çiftli giriş url"
"Products Catalog","Ürünler kataloğu"
"Products","Ürünler"
"Qty Uses Decimals","Ondalık kullanılabilir"
"Quantity","Adet"
"Quick Overview","Hızlı bakış"
"Remove filter","Filteyi kaldır"
"Remove item","Ögeyi kaldır"
"Remove","Kaldır"
"SEO","SEO"
"Sku","Sku"
"Save","Kaydet"
"Search indexes updated successfully","Arama indexleri güncellendi"
"Searchable","Aranabilir"
"Set product as new From","Yeni ürün tarihden"
"Set product as new To","Yeni ürün tarihe kadar"
"Short Description","Kısa açıklama"
"Show per page","Göster"
"Sort ascending","Artan sıralama"
"Sort by","Buna göre sırala"
"Sort descending","Azalan sıralama"
"Sort Order","Sipariş"
"Special Price From","Özel fiyat tarihden"
"Special Price To","Özel fiyat tarihe kadar"
"Status to be Out of Stock","Stok durumu"
"Status","Durum"
"Stock Availability","Geçerli stok"
"Tax Class","Vergi türleri"
