"%d rating(s) was deleted successfully", "%d рейтинг(и) был(и) успешно удален(ы)"
"%d rating(s) was saved successfully", "%d рейтинг(и) был(и) успешно сохранен(ы)"
"%s reviews of %s", "%s обзор(а) из %s"
"%s: Review by %s", "%s: Обзор от %s"
"Rating", "Рейтинг"
"Cons", "Минусы"
"Log in to write a review", "Войдите, чтобы написать рецензию"
"Nickname '%s' is already in use. Choose a different one", "Ник '%s' уже используется. Выберите другой."
"Overall: %s review(s)", "Всего: %s отзыв(а)"
"Pros", "Плюсы"
"Rating with name '%s' is already exist", "Рейтинг с именем '%s' уже существует"
"Read about %s", "Читайте о %s"
"Review not found", "Обзор не найден"
"Review(s) %d to %d of %d", "%d - %d из %d обзоров"
"Reviewed on %s by %s", "Отзыв от %s %s"
"Reviews by %s", "Отзывы от %s"
"Summary", "Резюме"
"View all reviews for %s", "Посмотреть все отзывы по %s"
"View all reviews written by %s", "Просмотреть все отзывы написаные %s"
"View all reviews", "Посмотреть все отзывы"
"View all user reviews (%d)", "Просмотреть все отзывы (%d)"
"Write review for %s", "Напиши обзор для %s"
"Write review", "Напиши обзор"
"Write your review", "Напиши свой отзыв"
"Add review for the %s", "Добавить отзыв о %s"
"All reviews", "Все отзывы"
"Average user ratings", "Средний рейтинг пользователей"
"Be the first to review this product", "Оставьте первый отзыв для этого товара"
"Community review ratings", "Рейтинг отзывов"
"Community reviews", "Отзывы сообщества"
"Compare selected", "Сравнить выделенные"
"Customer reviews", "Отзывы посетителей"
"Date", "Дата"
"Guest", "Гость"
"Guests do not have the permission to vote. Review was saved without ratings", "Гости не имеют права голосовать. Обзор сохранен без рейтингов"
"No ratings are available", "Нет доступных рейтингов"
"Not found", "Не найдено"
"Rating name is required", "Имя рейтинга обязательна"
"Read review", "Читать обзор"
"Review has been accepted for moderation", "Обзор был принять на модерацию"
"Review was successfully saved", "Обзор успешно сохранен"
"Reviews for the %s", "Отзывы о %s"
"Reviews written by customer %s", "Отзывы от %s"
"Reviews", "Отзывы"
"Select to compare", "Выбрать для сравнения"
"Sort ascending", "Сортировать по возрастанию"
"Sort descending", "Сортировать по убыванию"
"There are no reviews for this product yet", "Для этого продукта пока нет отзывов"
"Users rating", "Оценка пользователей"
"You have already voted for this product. Review was saved without ratings", "Вы уже голосовали за этот продукт. Обзор был сохранен без рейтингов"
"stars", "звезды"
"Explain to us in detail why you like or dislike the product, focusing your comments on the product's features and functionality, and your experience using the product. This field is optional.", "Объясните, подробно, почему вам нравится или не нравится продукт, уделяя особое внимание комментариям об особенностях продукта и функциональности, вашему опыту использования продукта. Это поле является необязательным."
"Tell us what you don't like about this product. up to 250 characters", "Расскажите, что вам не нравится об этом товаре. до 250 знаков"
"Nickname", "Прозвище"
"One-line summary", "Обзор вкратце"
"Tell us what you like about this product. up to 250 characters", "Расскажите, что вам нравится в этом продукте. До 250 знаков"
"Your nickname. All users will be able to see it", "Ваш ник. Видно всем пользователям."
"Summarize your review in one line. up to 55 characters", "Подведите итог вашего предыдущего обзора в одной строчкой. До 55 символов"
"Show %s reviews per page", "Показать %s отзыв(а/ов) на странице"
"Sort by", "Сортировать по"
"View all", "Посмотреть все"
"%s stars", "%s звезд"
"Add Review", "Добавь свой отзыв"
"Product Reviews", "Обзоры продукции"
"Community", "Сообщество"
"Review ratings", "Рейтинги отзыва"
"Allow guest to write a reviews", "Разрешить гостям писать отзывы"
"Default customer review status", "Статус обзора клиента по-умолчанию"
"Default guest review status", "Статус обзора гостя по-умолчанию"
"Default reviews count per page", "Количество обзоров на страницу по-умолчанию"
"Enable ratings", "Включить рейтинги"
"Enabled", "Включено"
"Merge average ratings", "Объединять рейтинг"
"Reviews showed per page", "Показывать обзоров на странице"
"Show rating title", "Показать заголовок рейтинга"
"Default review status written by registered customer", "Размещение отзыва для зарегистрированных пользователей по-умолчанию"
"Default review status written by guest", "Размещение отзывов для гостей по-умолчанию"
"Enable rating system in reviews", "Включить систему рейтинга в обзорах"
"Show average rating as one", "Показать средний рейтинг как один"
"Show rating titles", "Показать заголовки рейтинга"
