"%d rating(s) was deleted successfully","%d rating(s) was deleted successfully"
"%d rating(s) was saved successfully","%d rating(s) was saved successfully"
"%s reviews of %s","%s reviews of %s"
"%s: Review by %s","%s: Review by %s"
"Rating","Rating"
"Cons","Cons"
"Log in to write a review","Log in to write a review"
"Nickname '%s' is already in use. Choose a different one","Nickname '%s' is already in use. Choose a different one"
"Overall: %s review(s)","Overall: %s review(s)"
"Pros","Pros"
"Rating with name '%s' is already exist","Rating with name '%s' is already exist"
"Read about %s","Read about %s"
"Review not found","Review not found"
"Review(s) %d to %d of %d","Review(s) %d to %d of %d"
"Reviewed on %s by %s","Reviewed on %s by %s"
"Reviews by %s","Reviews by %s"
"Summary","Summary"
"View all reviews for %s","View all reviews for %s"
"View all reviews written by %s","View all reviews written by %s"
"View all reviews","View all reviews"
"View all user reviews (%d)","View all user reviews (%d)"
"Write review for %s","Write review for %s"
"Write review","Write review"
"Write your review","Write your review"
"Add review for the %s","Add review for the %s"
"All reviews","All reviews"
"Average user ratings","Average user ratings"
"Be the first to review this product","Be the first to review this product"
"Community review ratings","Community review ratings"
"Community reviews","Community reviews"
"Compare selected","Compare selected"
"Customer reviews","Customer reviews"
"Date","Date"
"Guest","Guest"
"Guests do not have the permission to vote. Review was saved without ratings","Guests do not have the permission to vote. Review was saved without ratings"
"No ratings are available","No ratings are available"
"Not found","Not found"
"Rating name is required","Rating name is required"
"Read review","Read review"
"Review has been accepted for moderation","Review has been accepted for moderation"
"Review was successfully saved","Review was successfully saved"
"Reviews for the %s","Reviews for the %s"
"Reviews written by customer %s","Reviews written by customer %s"
"Reviews","Reviews"
"Select to compare","Select to compare"
"Sort ascending","Sort ascending"
"Sort descending","Sort descending"
"There are no reviews for this product yet","There are no reviews for this product yet"
"Users rating","Users rating"
"You have already voted for this product. Review was saved without ratings","You have already voted for this product. Review was saved without ratings"
"stars","stars"
"Explain to us in detail why you like or dislike the product, focusing your comments on the product's features and functionality, and your experience using the product. This field is optional.","Explain to us in detail why you like or dislike the product, focusing your comments on the product's features and functionality, and your experience using the product. This field is optional."
"Tell us what you don't like about this product. up to 250 characters","Tell us what you don't like about this product. up to 250 characters"
"Nickname","Nickname"
"One-line summary","One-line summary"
"Tell us what you like about this product. up to 250 characters","Tell us what you like about this product. up to 250 characters"
"Your nickname. All users will be able to see it","Your nickname. All users will be able to see it"
"Summarize your review in one line. up to 55 characters","Summarize your review in one line. up to 55 characters"
"Show %s reviews per page","Show %s reviews per page"
"Sort by","Sort by"
"View all","View all"
"%s stars","%s stars"
"Add Review","Add Review"
"Product Reviews","Product Reviews"
"Community","Community"
"Review ratings","Review ratings"
"Allow guest to write a reviews","Allow guest to write a reviews"
"Default customer review status","Default customer review status"
"Default guest review status","Default guest review status"
"Default reviews count per page","Default reviews count per page"
"Enable ratings","Enable ratings"
"Enabled","Enabled"
"Merge average ratings","Merge average ratings"
"Reviews showed per page","Reviews showed per page"
"Show rating title","Show rating title"
"",""
"Default review status written by registered customer","Default review status written by registered customer"
"Default review status written by guest","Default review status written by guest"
"Enable rating system in reviews","Enable rating system in reviews"
"Show average rating as one","Show average rating as one"
"Show rating titles","Show rating titles"
