"Show rating titles","Mostrar títulos de avaliação"
"Overall: %s review(s)","%s : Comentário(s) Geral"
"%d rating(s) was deleted successfully","%d avaliação(s) excluída com sucesso"
"%d rating(s) was saved successfully","%d Categoria(s) excluída com sucesso"
"%s reviews of %s","%s comentários de %s"
"%s: Review by %s","%s:Revisão por %s"
"Rating","Classificação"
"Cons","Contras"
"Log in to write a review","Acesse para escrever um comentário"
"Nickname '%s' is already in use. Choose a different one","Apelido '%s' já está em uso. Escolha um diferente"
"Pros","A Favor"
"Rating with name '%s' is already exist","Classificação com o nome '%s' já existe"
"Read about %s","Leia sobre %s"
"Review not found","Comentário não encontrado"
"Review(s) %d to %d of %d","Comentário(s) %d à %d de %d"
"Reviewed on %s by %s","Comentado em %s por %s"
"Reviews by %s","Comentários por %s"
"Summary","Resumo"
"View all reviews for %s","Visualizar todos comentários de %s"
"View all reviews written by %s","Visualizar todos os comentários escritos por %s"
"View all reviews","Visualizar todos comentários"
"View all user reviews (%d)","Visualizar todos Comentários de Usuário (%d)"
"Write review for %s","Escrever comentário para %s"
"Write review","Escrever comentário"
"Write your review","Escreva seu comentário"
"Add review for the %s","Adicionar comentário para o %s"
"All reviews","Todos comentários"
"Average user ratings","Média das avaliações do usuário"
"Be the first to review this product","Seja o primeiro a comentar este produto"
"Community review ratings","Avaliações de comentário da comunidade"
"Community reviews","Comentários da comunidade"
"Compare selected","Comparar selecionado"
"Customer reviews","Comentários de cliente"
"Date","Data"
"Guest","Visitante"
"Guests do not have the permission to vote. Review was saved without ratings","Visitantes não tem permissão para votar. Comentário foi salvo sem classificação"
"No ratings are available","Nenhuma avaliação está disponível"
"Not found","Não encontrado"
"Rating name is required","Nome da Avaliação é obrigatório"
"Read review","Ler comentário"
"Review has been accepted for moderation","Comentário foi aceito por moderação"
"Review was successfully saved","Comentário salvo com sucesso"
"Reviews for the %s","Comentários para o %s"
"Reviews written by customer %s","Comentários escrito por cliente %s"
"Reviews","Comentários"
"Select to compare","Selecione para comparar"
"Sort ascending","Classificação crescente"
"Sort descending","Classificação decrescente"
"There are no reviews for this product yet","Não existem comentários para este produto ainda"
"Users rating","Avaliação de usuário"
"You have already voted for this product. Review was saved without ratings","Você já votou neste produto. Comentário foi salvo sem classificação"
"stars","Estrelas"
"Explain to us in detail why you like or dislike the product, focusing your comments on the product's features and functionality, and your experience using the product. This field is optional.","Explica-nos detalhadamente porque você gostou ou não do produto, focando os seus comentários sobre as características do produto e funcionalidade, e sua experiência com o produto. Este campo é opcional."
"Tell us what you don't like about this product. up to 250 characters","Diga-nos o que você não gosta deste produto. até 250 caracteres"
"Nickname","Apelido"
"One-line summary","Resumo Online"
"Tell us what you like about this product. up to 250 characters","Diga-nos o que você gosta sobre esse produto. até 250 caracteres"
"Your nickname. All users will be able to see it","Seu apelido. Todos Usuários serão capazes de vê-lo"
"Summarize your review in one line. up to 55 characters","Resuma sua opinião em uma linha. de até 55 caracteres"
"Show %s reviews per page","Mostrar %s comentários por página"
"Sort by","Classificar por"
"View all","Visualizar todos"
"%s stars","%s estrelas"
"Add Review","Adicionar Comentário"
"Product Reviews","Comentários sobre produto"
"Community","Comunidade"
"Review ratings","Avaliações de comentário"
"Allow guest to write a reviews","Permitir que visitantes escrevam comentários"
"Default customer review status","Status padrão de comentário de cliente"
"Default guest review status","Status padrão de comentário de visitante"
"Default reviews count per page","Contagem padrão de comentários por página"
"Enable ratings","Ativar avaliações"
"Enabled","Ativado"
"Merge average ratings","Margem média de avaliações"
"Reviews showed per page","Comentários mostrado por página"
"Show rating title","Mostrar título de avaliação"
"Default review status written by registered customer","Status padrão de comentário escrito por cliente registrado"
"Default review status written by guest","Status padrão de comentário escrito por visitante"
"Enable rating system in reviews","Ativar sistema de classificação em comentários"
"Show average rating as one","Mostrar avaliação média como um"
