"'%s' was not found in database","'%s' veritabanında bulunamadı"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Sitemizde bir hesap oluşturarak, ödeme işleminizi, birden fazla sevkiyat adresi kaydını, hesabınızı görüntülemyi, siparişlerinizi izlemeyi daha hızlı ve kolay yapabilirsiniz."
"Can't save customer","Müşteri kaydedilemedi"
"If you have an account already, please log in.","Zaten bir hesabınız varsa, lütfen giriş yapınız."
"New Customers","Yeni müşteri"
"Registered Customers","Kayıtlı müşteriler"
"Welcome, %s %s","Hoşgeldin, %s %s"
"Account settings successfully updated","Hesap ayarları başarıyla güncellendi"
"Account","Hesaplar"
"Action","İşlem"
"Actions","İşlemler"
"Add new address","Yeni adres ekle"
"Saving address","Adresi kaydet"
"Added on","Ekli"
"Address Book","Adres defteri"
"Address","Adres"
"Auth","Yazar"
"Billing Address","Fatura adresi"
"Change Info","Bilgileri değiştir"
"Change account info","Hesap bilgilerini değiştir"
"Change password","Şifre değiştir"
"City","Şehir"
"Comment","Açıklama"
"Company","Şirket"
"Confirm new password","Yeni şifreyi onayla"
"Copy To Cart","Sepeti kopyala"
"Country","Ülke"
"Create an Account","Hesap Aç"
"Created Date","Oluşturma Tarihi"
"Customer Group","Müşteri gurup"
"Search history","Arama geçmişi"
"Custom Customer Fields","Müşteri özel alanları"
"Default Billing Address","Varsayılan fatura adresi"
"Default Shipping Address","Varsayılan teslim adresi"
"Delete address?","Adresi sil?"
"Delete","Sil"
"Delivery Address","Teslim adresi"
"Edit Customer","Müşteri düzelt"
"Edit address","Adresi düzelt"
"Edit","Düzenle"
"Email","E-posta"
"Firstname","Ad"
"Forgot Your Password?","Şifremi unuttum?"
"Forgot password","Şifremi unuttum"
"Forgot","Unuttum"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information.","Panelinizden Son hesap etkinliklerini görebilir ve hesap bilgilerinizi güncelleyebilirsiniz."
"Group was saved successfully","Gurup kaydedildi"
"Hello, %s","Merhaba, %s"
"Id","No"
"Information","Bilgilendirme"
"Items Ordered","ögeleri sırala"
"Lastname","Soyad"
"Log in or create an account","Giriş yapın veya bir hesap oluşturun"
"Login","Giriş"
"Logout","Çıkış"
"Manage Customer Groups","Müşteri gurup yönetimi"
"Manage Customers","Müşteri yönetimi"
"Modified Date","Değiştirme Tarihi"
"Move To Cart","Sepete Taşı"
"My Account","Hesabım"
"My Orders","siparişlerim"
"My Tags","Etiketlerim"
"My Wishlist","İzlediklerim"
"Name","Ad"
"New password","Yeni şifre"
"Newsletter","Haber Bülteni"
"No primary address found","Adres bulunamadı"
"Password confirmation does not match","Şifre eşleşmiyor"
"Password is the required field","Şifre gerekli"
"Password","Şifre"
"Payment Method","Ödeme yöntemi"
"Personal Information","Kişisel Bilgiler"
"Price","Fiyat"
"Primary Billing Address","Fatura adresi"
"Primary Delivery Address","Teslim adresi"
"Print","Yazdır"
"Recieved hash is corrupted.","Algoritma bozuk."
"Remove","Kaldır"
"Reorder","Sırala"
"Retrieve Forgotten Password","Şifreniz"
"Search","Ara"
"Selected product is already in your wishlist","Seçilen ürün listenizde var"
"Set us primary billing address","Öncelikli fatura adresi"
"Set us primary shipping address","Öncelikli nakliye adresi"
"Shipping Method","Nakliye yöntemi"
"Sign In / Create Account","Giriş / Hesap Oluştur"
"Signup","Üye ol"
"Site Name","Site Adı"
"Sorry but we were not able to contact you via email address provided.","Üzgünüz, bizdeki e-posta adresi ile sizinle iletişim kuramıyoruz."
"State/Province","Bölge/il"
"Status","Durum"
"Street Address","Cadde"
"Submit","Teslim et"
"Update","Güncelle"
"View All","Tümünü göster"
"View Order","Siparişi Göster"
"View","Göster"
"Wishlist","Beğenilenler"
"Zip/Postcode","Posta kodu"
"My Addresses","Adresim"
"Active","Aktif"
"Confirm Password","Şifre onayı"
"Contact information","İletişim bilgileri"
"Current password","Mevcut şifre"
"Email address","Email adresi"
"Email will be used to login into your account","E-posta hesabınıza giriş yapmak için kullanılır."
"General information","Genel bilgiler"
"Register","Kaydet"
"Site","Site"
