"No currencies found", "Валюты не найдены"
"Currency List", "Список валют"
"Currency was deleted successfully", "Валюта была успешно удалена"
"Currency was saved successfully", "Валюта была успешно сохранена"
"Language was deleted successfully", "Язык был успешно удален"
"Language was saved successfully", "Язык был успешно сохранен"
"Language", "Язык"
"Languages", "Языки"
"Locale format is unsupported", "Формат локализиции не поддерживается"
"No language found to delete", "Язык для удаления не найден"
"Standard", "Стандартный"
"Right", "Справа"
"Left", "Слева"
"Currency", "Валюта"
"No Symbol", "Нет символа"
"Use Symbol", "Использовать символ"
"Use Shortname", "Краткая запись"
"Use Name", "Использовать имя"
"Base currency rate should be 1.00", "Курс базовой валюты должен быть равный 1.00"
"Currency rate was changed to 1.00", "Курс валюты был изменен на 1.00"
"Localization", "Локализация"
"Currencies", "Валюты"
"Locale", "Локализация"
"Base currency", "Базовая валюта"
"Default Address Format", "Формат адреса по умолчанию"
"Default display currency", "Валюта по-умолчанию"
"Default language", "Язык по умолчанию"
"Default locale", "Локализация по умолчанию"
"Timezone", "Временная зона"
"General", "Общие"
"Currency will be used for all online payment transactions", "Валюта будет использоваться для всех онлайн транзакций"
"Default currency", "Валюта по умолчанию"
"Default site language", "Язык сайта по умолчанию"
"Default site locale", "Локазизация сайта по умолчанию"
