"%d rating(s) was deleted successfully","%d ретинг(ів) успішно видалено"
"%d rating(s) was saved successfully","%d ретинг(ів) успішно видалено"
"%s reviews of %s","%s відгук(ів) з  %s"
"%s: Review by %s","%s: Відгук від %s"
"Rating","Рейтинг"
"Cons","Недоліки"
"Log in to write a review","Увійдіть щоб написати відгук"
"Nickname '%s' is already in use. Choose a different one","Нік '%s' уже зайнятий. Виберіть інший"
"Overall: %s review(s)","Загалом: %s відгук(и)"
"Pros","Переваги"
"Rating with name '%s' is already exist","Рейтинг '%s' вже існує"
"Read about %s","Читай про %s"
"Review not found","Відгуків не знайдено"
"Review(s) %d to %d of %d","Відгук(и) %d - %d з %d"
"Reviewed on %s by %s","Відгук від %s %s"
"Reviews by %s","Відгуки %s"
"Summary","Підсумок"
"View all reviews for %s","Перглянути всі відгуки %s"
"View all reviews written by %s","Переглянути всі відгуки %s"
"View all reviews","Переглянути всі відгуки"
"View all user reviews (%d)","Переглянути всі відгуки (%d)"
"Write review for %s","Написати відгук для %s"
"Write review","Написати відгук"
"Write your review","Написати свій відгук"
"Add review for the %s","Додати відгук %s"
"All reviews","Всі відгуки"
"Average user ratings","Середня оцінка користувачів"
"Be the first to review this product","Будь першим хто напише відгук на цей продут"
"Community review ratings","Рейтинги відгуків"
"Community reviews","Відгуки спільноти"
"Compare selected","Порівняти вибране"
"Customer reviews","Відгуки користувачів"
"Date","Дата"
"Guest","Гість"
"Guests do not have the permission to vote. Review was saved without ratings","Гості не мають прав на голосування. Відгук був збережений без оцінок"
"No ratings are available","Немає доступних оцінок"
"Not found","Не знайдено"
"Rating name is required","Ім'я рейтингу обов'язкова"
"Read review","Прочитати відгук"
"Review has been accepted for moderation","Відгук був прийнятий на модерацію"
"Review was successfully saved","Відгук збережено"
"Reviews for the %s","Відгуки на %s"
"Reviews written by customer %s","Відгуки від %s"
"Reviews","Відгуки"
"Select to compare","Додати до порівняння"
"Sort ascending","Сортувати по зростанню"
"Sort descending","Сортувати по спаданню"
"There are no reviews for this product yet","Покищо немає відгуків для цього продукту"
"Users rating","Оцінка користувачів"
"You have already voted for this product. Review was saved without ratings","Ви вже голосували за цей продукт. Відгук був збережений без оцінок"
"stars","зірки"
"Explain to us in detail why you like or dislike the product, focusing your comments on the product's features and functionality, and your experience using the product. This field is optional.","Поясніть детально, чому вам подобається чи не подобається продукт, приділяючи особливу увагу зауваженням щодо особливостей продукту, його функціональності, і вашому досвіду використання продукта. Це поле не є обов'язковим."
"Tell us what you don't like about this product. up to 250 characters","Розкажіть, що вам не сподобалось у продукті. До 250 символів"
"Nickname","Нік"
"One-line summary","Підсумок одним реченням"
"Tell us what you like about this product. up to 250 characters","Розкажіть, що вам сподобалось у продукті. до 250 символів"
"Your nickname. All users will be able to see it","Ваш нік. Усі користувачі зможуть його бачити"
"Summarize your review in one line. up to 55 characters","Коротко сформулюйте вашу думку про продукт. До 55 символів"
"Show %s reviews per page","Показати %s відгуків на сторінці"
"Sort by","Сортувати по"
"View all","Переглянути всі"
"%s stars","%s зірок"
"Add Review","Додати відгук"
"Product Reviews","Відгуки про продукти"
"Community","Спільнота"
"Review ratings","Рейтинги відгуків"
"Allow guest to write a reviews","Дозволити гостям писати відгуки"
"Default customer review status","Статус відгука написаного зареєстрованим користувачем"
"Default guest review status","Статус відгука написаного гостем"
"Default reviews count per page","Кількість відгуків на сторінці"
"Enable ratings","Увімкнути рейтинги"
"Enabled","Увімкнено"
"Merge average ratings","Обєднувати рейтинги"
"Reviews showed per page","Показано відгуків"
"Show rating title","Показувати назву рейтинга"
"Default review status written by registered customer","Статус відгуку написаного зареєстрованим користувачем"
"Default review status written by guest","Статус відгуку написаного гостем"
"Enable rating system in reviews","Включити систему рейтингів у відгуках"
"Show average rating as one","Обєднувати рейтинги в один при виводі середнього рейтинга"
"Show rating titles","Показувати назви рейтингів"
