"'%s' was not found in database","%s nu a fost găsit în baza de date"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea acestui cont, aveți posibilitatea să treceți mai repede de procesul de finalizare comenzi, puteți salva mai multe adrese de livrare, vizualiza sau urmări status-ul comenzii dumneavoastră în orice moment și multe altele."
"Can't save customer","Clientul nu a putut fi salvat"
"If you have an account already, please log in.","Dacă aveți deja un cont, vă rugăm să vă autentificați."
"New Customers","Clienți noi"
"Registered Customers","Clienți înregistrați"
"Welcome, %s %s","Bun venit, %s %s"
"Account settings successfully updated","Setările contului au fost aplicate cu succes"
"Account","Cont"
"Action","Acțiune"
"Actions","Acțiuni"
"Add new address","Adăugare adresă nouă"
"Saving address","Salvare adresă"
"Added on","Adăugat pe"
"Address Book","Adrese de contact"
"Address","Adresă"
"Auth","Autentificare"
"Billing Address","Adresă de facturare"
"Change Info","Modificare informații"
"Change account info","Modificare date cont"
"Change password","Modifică parola"
"City","Localitate"
"Comment","Comentariu"
"Company","Companie"
"Confirm new password","Confirmă parola nouă"
"Copy To Cart","Trimite în coș"
"Country","Județ"
"Create an Account","Creează cont"
"Created Date","Data înregistrării"
"Customer Group","Grup client"
"Search history","Istoric căutări"
"Custom Customer Fields","Câmpuri personalizate pentru client"
"Default Billing Address","Adresă facturare de bază"
"Default Shipping Address","Adresă de livrare de bază"
"Delete address?","Ștergeți adresa?"
"Delete","Șterge"
"Delivery Address","Adresă livrare"
"Edit Customer","Editare client"
"Edit address","Editează adresa"
"Edit","Modifică"
"Email","Email"
"Firstname","Nume"
"Forgot Your Password?","Ai uitat parola?"
"Forgot password","Parola uitată"
"Forgot","Uitată"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information.","Din panoul ”Contul meu” puteți sa vedeți o monstră a activității dumneavoastră recente și să vă actualizați informațiile personale."
"Group was saved successfully","Grupul a fost salvat cu succes"
"Hello, %s","Bun venit, %s"
"Id","Id"
"Information","Informație"
"Items Ordered","Produse comandate"
"Lastname","Prenume"
"Log in or create an account","Conectează-te sau creează un cont nou"
"Login","Conectare"
"Logout","Deconectare"
"Manage Customer Groups","Grupuri clienți"
"Manage Customers","Clienți"
"Modified Date","Data modificării"
"Move To Cart","Mută în coș"
"My Account","Contul meu"
"My Orders","Comenzile mele"
"My Tags","Marcajele mele"
"My Wishlist","Wishlist"
"Name","Nume"
"New password","Parolă nouă"
"Newsletter","Newsletter"
"No primary address found","Nu a fost găsită o adresă principală"
"Password confirmation does not match","Cele două parole nu se potrvesc"
"Password is the required field","Trebuie să introduceți o parolă"
"Password","Parolă"
"Payment Method","Metodă de plată"
"Personal Information","Informații personale"
"Price","Preț"
"Primary Billing Address","Adresă principală pentru facturare"
"Primary Delivery Address","Adresă principala pentru livrare"
"Print","Listează"
"Recieved hash is corrupted.","Recieved hash is corrupted."
"Remove","Elimină"
"Reorder","Rearanjează"
"Retrieve Forgotten Password","Primește parola uitată"
"Search","Caută"
"Selected product is already in your wishlist","Produsul selectat se află deja în wishlist-ul dumneavoastră"
"Set us primary billing address","Setează adresa de facturare principală
"
"Set us primary shipping address","Setează adresa de livrare principală"
"Shipping Method","Metodă de livrare"
"Sign In / Create Account","Autentificare / Creează Cont"
"Signup","Creare cont"
"Site Name","Nume site"
"Sorry but we were not able to contact you via email address provided.","Ne pare rău dar nu am putut să vă contactăm la adresa de email pe care ne-ați furnizat-o"
"State/Province","Județ/Provincie"
"Status","Status"
"Street Address","Stradă"
"Submit","Trimite"
"Update","Acutalizează"
"View All","Vezi tot"
"View Order","Vezi comanda"
"View","View"
"Wishlist","Wishlist"
"Zip/Postcode","Cod poștal"
"My Addresses","Adresele mele"
"Active","Activ"
"Confirm Password","Confirmă parola"
"Contact information","Informații de contact"
"Current password","Parola curentă"
"Email address","Adresă Email"
