"%d rating(s) was deleted successfully","%d puanı silindi"
"%d rating(s) was saved successfully","%d puanı kaydedildi"
"%s reviews of %s","%s yorumları %s"
"%s: Review by %s","%s: %s yorumu"
"Rating","Puanlama"
"Cons","Eksileri"
"Log in to write a review","Yorum yazmak için giriş yapın Giriş"
"Nickname '%s' is already in use. Choose a different one","Takmaad '%s' kullanılıyor. Farklı bir tane seçin"
"Overall: %s review(s)","Toplam: %s yorum"
"Pros","Artıları"
"Rating with name '%s' is already exist","'%s' puanlama adı zaten var"
"Read about %s","%s hakkında bilgi edinin"
"Review not found","Yorum bulunamadı"
"Review(s) %d to %d of %d","Yorum %d ile %d arası %d"
"Reviewed on %s by %s","%s bu yorum %s ait"
"Reviews by %s","%s yorumladı"
"Summary","özet"
"View all reviews for %s","%s için tüm yorumları göster"
"View all reviews written by %s","%s yazdığı tüm yorumları göster"
"View all reviews","Tüm yorumları göster"
"View all user reviews (%d)","Tüm kullanıcı yorumlarını göster (%d)"
"Write review for %s","%s Için yorum yazın"
"Write review","Yorum yazın"
"Write your review","Yorumunuz"
"Add review for the %s","%s için yorum eklendi"
"All reviews","Tüm yorumlar"
"Average user ratings","Ortalama kullanıcı puanları"
"Be the first to review this product","Bu ürünü ilk yorumlayan siz olun"
"Community review ratings","Değerlendirme puanları"
"Community reviews","Değerlendirme"
"Compare selected","Seçilenleri karşılaştır"
"Customer reviews","Müşteri yorumları"
"Date","Tarih"
"Guest","Ziyaretci"
"Guests do not have the permission to vote. Review was saved without ratings","Oy kullanma iznine sahip değilsiniz. Değerlendirme, puanlama olmadan kaydedildi"
"No ratings are available","Puanlama yok"
"Not found","Bulunamadı"
"Rating name is required","Puanlama adı gerekli"
"Read review","Yorumu oku"
"Review has been accepted for moderation","Yorum ılımlılık için kabul edilmiştir"
"Review was successfully saved","Yorum kaydedildi"
"Reviews for the %s","%s için yorumlar"
"Reviews written by customer %s","%s tarafından yazılan yorum"
"Reviews","Yorumlar"
"Select to compare","Karşılaştırmak için seçin"
"Sort ascending","Artan sıralama"
"Sort descending","Azalan sıralama"
"There are no reviews for this product yet","Bu ürün için henüz hiç yorum yapılmamış"
"Users rating","Kullanıcı puanı"
"You have already voted for this product. Review was saved without ratings","Bu ürün için oy kullanılmış. Değerlendirme, puanlama olmadan kaydedildi"
"stars","yıldızlar"
"Explain to us in detail why you like or dislike the product, focusing your comments on the product's features and functionality, and your experience using the product. This field is optional.","Deneyimlerinizi, ürünün özellikleri ve fonksiyonelliğini, neyi sevip ya da sevmediğinizi ayrıntılı olarak bize açıklayın. Bu alan isteğe bağlıdır."
"Tell us what you don't like about this product. up to 250 characters","Bu ürün hakkında neyi sevmediniz bize bildirin. En fazla 250 karakter"
"Nickname","Takma ad"
"One-line summary","Tek satır özet"
"Tell us what you like about this product. up to 250 characters","Tell us what you like about this product. up to 250 characters"
"Your nickname. All users will be able to see it","Your nickname. All users will be able to see it"
"Summarize your review in one line. up to 55 characters","Bir satırda yorumunuzu özetleyin. En fazla 55 karakter"
"Show %s reviews per page","Her sayfada %s yorum göster"
"Sort by","Buna göre sırala"
"View all","Tümünü göster"
"%s stars","%s yıldız"
"Add Review","Yorum ekle"
"Product Reviews","Ürün yorumları"
"Community","Yorumlar"
"Review ratings","Puanlar"
"Allow guest to write a reviews","Ziyaretcilere yorum yazma izni ver"
"Default customer review status","Varsayılan müşteri yorum durumu"
"Default guest review status","Varsayılan ziyaretci yorum durumu"
"Default reviews count per page","Hersayfada gösterilecek yorum sayısı"
"Enable ratings","Puanlama etkin"
"Enabled","Etkin"
"Merge average ratings","Puan ortalaması"
"Reviews showed per page","Gösterilen yorum"
"Show rating title","Puanlama başlığını göster"
"Default review status written by registered customer","Yorum kayıtlı müşteri tarafından yazılmış"
"Default review status written by guest","Yorum ziyaretci tarafından yazılmış"
"Enable rating system in reviews","Yorum için puanlama etkin"
"Show average rating as one","Ortalama puanı göster"
"Show rating titles","Puanlama başlıklarını göster"
