"'%s' was not found in database","Email '%s' v databázi nenalezen"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Rychlý a snadný postup objednáním, možnost sledovat stav a historii objednávek, možnost ukládat více dodacích či fakturačních adres a mnoho dalších výhod lze získat pouze registrací."
"Can't save customer","Uživatele nelze uložit"
"If you have an account already, please log in.","Přihlášení již registrovaných uživatelů"
"New Customers","Nový uživatel"
"Registered Customers","Registrovaný uživatel"
"Welcome, %s %s","Přihlášený uživatel: %s %s"
"Account settings successfully updated","Nastavení účtu bylo změněno"
"Account","Účet"
"Action","Činnost"
"Actions","Činnosti"
"Add new address","Přidat novou adresu"
"Saving address","Uložené adresy"
"Added on","Přidáno v"
"Address Book","Moje adresy"
"Address","Adresa"
"Auth","Přihlášení"
"Billing Address","Fakturační adresa"
"Change Info","Změna údajů"
"Change account info","Změna registračních údajů"
"Change password","Změnit heslo"
"City","Město"
"Comment","Komentář"
"Company","Firma"
"Confirm new password","Opětovné zadání hesla"
"Copy To Cart","Kopírovat do košíku"
"Country","Stát"
"Create an Account","Vytvořit nový účet"
"Created Date","Vytvořeno dne"
"Customer Group","Skupina uživatelů"
"Search history","Historie hledání"
"Custom Customer Fields","Vlastní údaje uživatelů"
"Default Billing Address","Výchozí fakturační adresa"
"Default Shipping Address","Výchozí dodací adresa"
"Delete address?","Odstranit adresu?"
"Delete","Odstranit"
"Delivery Address","Doručovací adresa"
"Edit Customer","Upravit uživatele"
"Edit address","Upravit adresu"
"Edit","Upravit"
"Email","Email"
"Firstname","Jméno"
"Forgot Your Password?","Obnova hesla"
"Forgot password","Obnova hesla"
"Forgot","###Obnovit"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information.","Tato úvodní stránka Vašeho účtu poskytuje souhrnný přehled a stav posledních objednávek, seznam uložených adres a odkazy sloužící k nastavení účtu a změně registračních údajů."
"Group was saved successfully","Skupina byla uložena"
"Hello, %s","Přihlášený uživatel: %s"
"Id","Číslo"
"Information","Informace"
"Items Ordered","Objednané produkty"
"Lastname","Příjmení"
"Log in or create an account","Přihlášení / Registrace nového uživatele"
"Login","Přihlásit"
"Logout","Odhlásit"
"Manage Customer Groups","Správa skupin uživatelů"
"Manage Customers","Správa uživatelů"
"Modified Date","Datum změny"
"Move To Cart","Přesunout do košíku"
"My Account","Můj účet"
"My Orders","Mé objednávky"
"My Tags","Moje štítky (tagy)"
"My Wishlist","Moje oblíbené"
"Name","Jméno"
"New password","Nové heslo"
"Newsletter","Zpravodaj"
"No primary address found","Hlavní adresa nenalezena"
"Password confirmation does not match","Zadaná hesla se neshodují"
"Password is the required field","Heslo je povinný údaj"
"Password","Heslo"
"Payment Method","Způsob platby"
"Personal Information","Osobní údaje"
"Price","Cena"
"Primary Billing Address","Hlavní fakturační adresa"
"Primary Delivery Address","Hlavní doručovací adresa"
"Print","Vytisknout"
"Recieved hash is corrupted.","Obdržený ověřovací klíč je poškozen."
"Remove","Odstranit"
"Reorder","Seřadit"
"Retrieve Forgotten Password","Obnovit heslo"
"Search","Hledat"
"Selected product is already in your wishlist","Zvolený produkt již je v oblíbených"
"Set us primary billing address","Nastavit jako hlavní fakturační adresu"
"Set us primary shipping address","Nastavit jako hlavní doručovací adresu"
"Shipping Method","Způsob přepravy"
"Sign In / Create Account","Přihlášení / Registrace"
"Signup","Registrace"
"Site Name","Název stránky"
"Sorry but we were not able to contact you via email address provided.","Se zadanou emailovou adresou nelze navázat kontakt"
"State/Province","Kraj"
"Status","Stav"
"Street Address","Ulice"
"Submit","Odeslat"
"Update","Aktualizovat"
"View All","Zobrazit vše"
"View Order","Zobrazit objednávku"
"View","Zobrazit"
"Wishlist","Oblíbené produkty"
"Zip/Postcode","PSČ"
"My Addresses","Moje adresy"
"Active","Aktivní"
"Confirm Password","Potvrzení hesla"
"Contact information","Kontaktní údaje"
"Current password","Současné heslo"
"Email address","Emailová adresa"
"Email will be used to login into your account","Emailová adresa je používána k přihlášení uživatele"
"General information","Základní údaje"
"Register","Registrace"
"Site","Stránka"
"Street","Ulice"
"Telephone","Telefon"
"Use as my default billing address","Nastavit jako hlavní fakturační adresu"
"Use as my default shipping address","Nastavit jako hlavní doručovací adresu"
"Your email. No one will see it","Vaše emailová adresa, veřejnosti je skryta"
"Your name. All users will be able to see it","###Vaše jméno"
"No addresses found","Nenalezena žádná adresa"
"Username or password is incorrect","Chybné přihlašovací údaje"
"Address not found","Adresa nebyla nalezena"
"Fax","Fax"
"Save","Uložit"
"Customer View","Uživatelské zobrazení"
"Account Information","Přihlašovací údaje"
"Addresses","Adresy"
"Delete group","Odstranit skupinu"
"Create group","Vytvořit skupinu"
"Invalid address data. Try again.","Neplatné údaje adresy, opakujte zadání"
"Customers","Uživatelé"
"Customer Groups","Skupiny"
"Customer Info Fields","Nastavení údajů"
"Value sets","Sady údajů"
"Default Customer Group","Výchozí skupina uživatelů"
"Group title","Název skupiny"
"General","Základní"
"Default Customer Group (default:'General')","Výchozí skupina uživatelů (výchozí hodnota: 'Základní')"
"Customer '%s' not found","Uživatel '%s' nenalezen"
"Your account is not active. Please contact site administrator for more details","Váš účet je neaktivní, informujte se u správce obchodu"
"New Account Created","Nový účet byl vytvořen"
"You have been registered on %s","Byl jste zaregistrován jako %s"
"You can %s to the account, using the following values","Můžete %s na účet použitím následujících údajů"
"New customer was registered on %s","Nový uživatel byl registrován na %s"
"Customer","Uživatel"
"You have submitted a forgot password request.","Požadavek na obnovu hesla byl odeslán."
"If you want to change your password, follow this link: %s","Chcete-li obnovit heslo, klikněte na následující odkaz: %s"
"This link is valid for only %d hours, until %s.","Tento odkaz je platný pouze %d hodin, do %s."
"Forgotten Password","Zapomenuté heslo"
"Customer account was created successfully","Uživatelský účet byl vytvořen"
"State(Region) Id","Kód kraje(regionu)"
"You can get the id of desired region at [admin]/location/zone","Kód požadovaného regionu získáte ve správě obchodu, nabídka Oblasti a daně / Správa regionů"
"Allowed Countries","Dostupné státy"
"Already registered? Log in, please","Přihlášení registrovaného uživatele"
"Company Default Value","Výchozí údaj - Firma"
"Phone Default Value","Výchozí údaj - Telefon"
"Fax Default Value","Výchozí údaj - Fax"
"Street Address Default Value","Výchozí údaj - Ulice"
"City Default Value","Výchozí údaj - Město"
"State(Region) Default Value","Výchozí údaj - Kraj"
"Postcode Default Value","Výchozí údaj - PSČ"
"Country Default Value","Výchozí údaj - Stát"
"Company Sort Order","Pořadí - společnost"
"City Status","Stav - město"
"Company Sort Order","Pořadí - společnost"
"Company Status","Stav - společnost"
"Company Sort Order","Pořadí - společnost"
"Country Status","Stav - stát"
"Company Sort Order","Pořadí - společnost"
"Fax Status","Stav - fax"
"Company Sort Order","Pořadí - společnost"
"Phone Status","Stav - telefon"
"Company Sort Order","Pořadí - společnost"
"Postcode Status","Stav - PSČ"
"Company Sort Order","Pořadí - společnost"
"Street Status","Stav - ulice"
"Company Sort Order","Pořadí - společnost"
"Region Status","Stav - kraj/region"
"Address Form","Formulář adresy"
"",""
